poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,methodology,partisan,polldate,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand2_name,cand2_id,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,bias,rightcall,comment
26249,31489,1725,1998,1998_Sen-G_GA,GA,Sen-G,Sen-G,University of Georgia Survey Research Center,674,Live Phone,,10/15/98,500,Michael J. Coles,3935,DEM,29,Paul Coverdell,3934,REP,46,,-17,11/3/98,45.15,52.37,-7.22,-9.78,1,
26285,31525,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/15/98,706,Charles E. Schumer,3966,DEM,37,Alfonse M. D'Amato,3967,REP,42,,-5,11/3/98,54.62,44.08,10.54,-15.54,0,
26262,31502,1750,1998,1998_Sen-G_WI,WI,Sen-G,Sen-G,University of Wisconsin-Milwaukee,366,Live Phone,,10/15/98,286,Russ Feingold,3986,DEM,46,Mark W. Neumann,3987,REP,44,,2,11/3/98,50.55,48.4,2.15,-0.15,1,
64394,118462,2140,1998,1998_House-G_NC-8,NC-8,House-G,House-G,Wirthlin Worldwide,387,Live Phone,R,10/15/98,505,Mike Taylor,14449,DEM,39,Robert C. Hayes,14450,REP,51,,-12,11/3/98,48.17,50.71,-2.54,-9.46,1,for Robert C. Hayes
28266,117593,8661,1998,1998_House-G_US,US,House-G,House-G,Yankelovich Partners Inc.,390,Live Phone,,10/15/98,442,Generic Candidate,13752,DEM,47,Generic Candidate,13753,REP,47,,0,11/3/98,47.13,48.02,-0.89,0.89,0.5,for CNN | Time
54224,87760,1437,1998,1998_Gov-G_CO,CO,Gov-G,Gov-G,Public Opinion Strategies,260,Live Phone,,10/16/98,500,Gail Schoettler,13022,DEM,39,William F. Owens,13021,REP,43,,-4,11/3/98,48.42,49.04,-0.62,-3.38,1,
26208,87770,1438,1998,1998_Gov-G_CT,CT,Gov-G,Gov-G,Quinnipiac University,267,Live Phone,,10/16/98,683,Barbara Kennelly,13024,DEM,24,John Rowland,13027,REP,72,,-48,11/3/98,35.44,62.9,-27.46,-20.54,1,among registered voters
26147,87858,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/16/98,828,Parris Glendening,13054,DEM,46,Ellen Sauerbrey,13053,REP,44,,2,11/3/98,55.14,44.82,10.33,-8.33,1,
26208,31448,1723,1998,1998_Sen-G_CT,CT,Sen-G,Sen-G,Quinnipiac University,267,Live Phone,,10/16/98,1247,Christopher J. Dodd,3930,DEM,61,Gary A. Franks,3931,REP,29,,32,11/3/98,65.15,32.37,32.78,-0.78,1,among registered voters
26250,31490,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,University of Illinois at Chicago,352,Live Phone,,10/16/98,597,Carol Moseley-Braun,3943,DEM,31,Peter G. Fitzgerald,3944,REP,48,,-17,11/3/98,47.44,50.35,-2.9,-14.1,1,
26147,31387,1734,1998,1998_Sen-G_MD,MD,Sen-G,Sen-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/16/98,821,Barbara A. Mikulski,3954,DEM,67,Ross Z. Pierpont,3955,REP,26,,41,11/3/98,70.5,29.5,41.01,-0.01,1,
28265,33543,8661,1998,1998_House-G_US,US,House-G,House-G,Hill Research Consultants,140,Live Phone,,10/16/98,600,Generic Candidate,13752,DEM,41,Generic Candidate,13753,REP,38,,3,11/3/98,47.13,48.02,-0.89,3.89,0,
28264,117577,8661,1998,1998_House-G_US,US,House-G,House-G,Pew Research Center,253,Live Phone,,10/16/98,743,Generic Candidate,13752,DEM,43,Generic Candidate,13753,REP,48,,-5,11/3/98,47.13,48.02,-0.89,-4.11,1,
54213,87749,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Field Research Corp. (Field Poll),94,Live Phone,,10/17/98,809,"Joseph 'Gray' Davis, Jr.",13015,DEM,50,Dan Lungren,13016,REP,43,,7,11/3/98,57.97,38.38,19.59,-12.59,1,
54246,87782,1439,1998,1998_Gov-G_FL,FL,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/17/98,822,Buddy MacKay,13029,DEM,41,Jeb Bush,13028,REP,51,,-10,11/3/98,44.72,55.27,-10.55,0.55,1,
54342,87878,1450,1998,1998_Gov-G_MN,MN,Gov-G,Gov-G,Star Tribune (Minnesota Poll),315,Live Phone,,10/17/98,1007,Jesse Ventura,13065,REF,21,Norm Coleman,13062,REP,34,35,-13,11/3/98,37,34.29,2.7,,0,
54354,87890,1453,1998,1998_Gov-G_NH,NH,Gov-G,Gov-G,Becker Institute,26,Live Phone,,10/17/98,355,Jeanne Shaheen,13069,DEM,67,Jay Lucas,13068,REP,22,,45,11/3/98,66.08,30.88,35.21,9.79,1,
26113,31353,1724,1998,1998_Sen-G_FL,FL,Sen-G,Sen-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/17/98,836,Bob Graham,3932,DEM,58,Charlie Crist,3933,REP,32,,26,11/3/98,62.47,37.53,24.94,1.06,1,
64109,117952,1910,1998,1998_House-G_CA-46,CA-46,House-G,House-G,Los Angeles Times,172,Live Phone,,10/17/98,1000,Loretta Sanchez,13989,DEM,48,Robert K. Dornan,13990,REP,34,,14,11/3/98,56.43,39.28,17.15,-3.15,1,
64137,118009,1997,1998,1998_House-G_IN-10,IN-10,House-G,House-G,Massie & Associates,199,Live Phone,R,10/17/98,300,Julia M. Carson,14069,DEM,37,Gary Anthony Hofmeister,14071,REP,38,,-1,11/3/98,58.34,39.37,18.98,-19.98,0,for Gary Anthony Hofmeister
36811,33541,8661,1998,1998_House-G_US,US,House-G,House-G,ABC News/The Washington Post,3,Live Phone,,10/17/98,548,Generic Candidate,13752,DEM,48,Generic Candidate,13753,REP,47,,1,11/3/98,47.13,48.02,-0.89,1.89,0,for The Washington Post
54265,87801,1441,1998,1998_Gov-G_HI,HI,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/18/98,406,Benjamin Cayetano,13033,DEM,37,Linda Lingle,13035,REP,52,,-15,11/3/98,50.11,48.82,1.29,-16.29,0,
54358,87894,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Research & Polling Inc.,280,Live Phone,,10/18/98,916,Martin Chavez,13072,DEM,39,Gary Johnson,13071,REP,49,,-10,11/3/98,45.47,54.53,-9.06,-0.94,1,
26050,87927,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Gordon S. Black Corp.,123,Live Phone,,10/18/98,1012,Lee Fisher,13085,DEM,28,Bob Taft,13086,REP,36,,-8,11/3/98,44.69,50.05,-5.36,-2.64,1,
54412,87948,1460,1998,1998_Gov-G_RI,RI,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/18/98,400,Myrth York,13104,DEM,45,Lincoln Almond,13105,REP,47,,-2,11/3/98,42.13,50.97,-8.84,6.84,1,
26243,31483,1732,1998,1998_Sen-G_KY,KY,Sen-G,Sen-G,TMR Research,328,Live Phone,,10/18/98,800,Scotty Baesler,3951,DEM,44,Jim Bunning,3950,REP,39,,5,11/3/98,49.16,49.75,-0.59,5.59,0,
26050,31290,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,Gordon S. Black Corp.,123,Live Phone,,10/18/98,1012,Mary Boyle,3969,DEM,28,George V. Voinovich,3968,REP,51,,-23,11/3/98,43.53,56.46,-12.93,-10.07,1,
26244,31484,1742,1998,1998_Sen-G_OK,OK,Sen-G,Sen-G,Tulsa Surveys,341,Live Phone,,10/18/98,750,Don Carroll,3971,DEM,16,Don Nickles,3970,REP,63,,-47,11/3/98,31.28,66.38,-35.1,-11.9,1,among all adults
54265,117965,1964,1998,1998_House-G_HI-1,HI-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/18/98,221,Neil Abercrombie,14010,DEM,50,Gene Ward,14011,REP,36,,14,11/3/98,61.56,36.35,25.21,-11.21,1,
26243,118432,2012,1998,1998_House-G_KY-6,KY-6,House-G,House-G,TMR Research,328,Live Phone,,10/18/98,700,Ernesto Scorsone,14438,DEM,44,Ernie Fletcher,14439,REP,41,,3,11/3/98,45.95,53.11,-7.15,10.15,0,
64392,118460,2145,1998,1998_House-G_ND-1,ND-1,House-G,House-G,WPA Intelligence (WPAi),383,Live Phone,R,10/18/98,300,Earl Pomeroy,14447,DEM,49,Kevin Cramer,14448,REP,40,,9,11/3/98,56.21,41.11,15.11,-6.11,1,for unspecified Republican sponsor
64108,117951,2260,1998,1998_House-G_WA-1,WA-1,House-G,House-G,"Lauer, Lalley, Victoria",168,Live Phone,D,10/18/98,368,Jay Robert Inslee,13986,DEM,43,Richard Alan White,13987,REP,39,5,4,11/3/98,49.77,44.12,5.66,-1.66,1,for unspecified Democratic sponsor
26068,87750,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Los Angeles Times,172,Live Phone,,10/19/98,883,"Joseph 'Gray' Davis, Jr.",13015,DEM,53,Dan Lungren,13016,REP,42,,11,11/3/98,57.97,38.38,19.59,-8.59,1,
26083,87828,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Market Shares Corp.,187,Live Phone,,10/19/98,1099,Glenn Poshard,13043,DEM,34,George Ryan,13044,REP,49,,-15,11/3/98,47.46,51.03,-3.57,-11.43,1,
54305,87841,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/19/98,625,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/98,47.38,50.81,-3.43,-1.57,1,
26068,31308,1721,1998,1998_Sen-G_CA,CA,Sen-G,Sen-G,Los Angeles Times,172,Live Phone,,10/19/98,883,Barbara Boxer,3926,DEM,49,Matt Fong,3927,REP,44,,5,11/3/98,53.06,43.01,10.05,-5.05,1,
26083,31323,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Market Shares Corp.,187,Live Phone,,10/19/98,1099,Carol Moseley-Braun,3943,DEM,38,Peter G. Fitzgerald,3944,REP,48,,-10,11/3/98,47.44,50.35,-2.9,-7.1,1,
28262,33540,8661,1998,1998_House-G_US,US,House-G,House-G,Wirthlin Worldwide,387,Live Phone,,10/19/98,416,Generic Candidate,13752,DEM,41,Generic Candidate,13753,REP,45,,-4,11/3/98,47.13,48.02,-0.89,-3.11,1,
54203,87739,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,732,Paul Johnson,13009,DEM,35,Jane Hull,13012,REP,55,,-20,11/3/98,35.53,60.95,-25.42,5.42,1,
54215,87751,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,4531,"Joseph 'Gray' Davis, Jr.",13015,DEM,50,Dan Lungren,13016,REP,39,,11,11/3/98,57.97,38.38,19.59,-8.59,1,
54225,87761,1437,1998,1998_Gov-G_CO,CO,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,614,Gail Schoettler,13022,DEM,46,William F. Owens,13021,REP,43,,3,11/3/98,48.42,49.04,-0.62,3.62,0,
54247,87783,1439,1998,1998_Gov-G_FL,FL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,2295,Buddy MacKay,13029,DEM,40,Jeb Bush,13028,REP,56,,-16,11/3/98,44.72,55.27,-10.55,-5.45,1,
54259,87795,1440,1998,1998_Gov-G_GA,GA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1174,Roy Barnes,13031,DEM,42,Guy Millner,13032,REP,47,,-5,11/3/98,52.49,44.08,8.42,-13.42,0,
54293,87829,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1209,Glenn Poshard,13043,DEM,37,George Ryan,13044,REP,55,,-18,11/3/98,47.46,51.03,-3.57,-14.43,1,
54294,87830,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/20/98,400,Glenn Poshard,13043,DEM,42,George Ryan,13044,REP,44,,-2,11/3/98,47.46,51.03,-3.57,1.57,1,for Chicago Sun-Times
54274,87810,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/20/98,408,Tom Vilsack,13039,DEM,44,Jim Lightfoot,13036,REP,46,,-2,11/3/98,52.3,46.51,5.8,-7.8,0,for Tom Vilsack
54323,87859,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,ABC News/The Washington Post,3,Live Phone,,10/20/98,919,Parris Glendening,13054,DEM,49,Ellen Sauerbrey,13053,REP,44,,5,11/3/98,55.14,44.82,10.33,-5.33,1,for The Washington Post
54324,87860,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,911,Parris Glendening,13054,DEM,42,Ellen Sauerbrey,13053,REP,55,,-13,11/3/98,55.14,44.82,10.33,-23.33,0,
54306,87842,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,907,Scott Harshbarger,13052,DEM,36,A. Paul Cellucci,13051,REP,56,,-20,11/3/98,47.38,50.81,-3.43,-16.57,1,
54307,87843,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,RKM Research and Communications Inc.,272,Live Phone,,10/20/98,402,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/98,47.38,50.81,-3.43,-1.57,1,
54334,87870,1449,1998,1998_Gov-G_MI,MI,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1535,Geoffrey Fieger,13061,DEM,36,John Engler,13060,REP,51,,-15,11/3/98,37.78,62.2,-24.43,9.43,1,
54359,87895,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/20/98,409,Martin Chavez,13072,DEM,43,Gary Johnson,13071,REP,47,,-4,11/3/98,45.47,54.53,-9.06,5.06,1,
54375,87911,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1792,Peter Vallone,13080,DEM,24,George Pataki,13083,REP,48,15,-24,11/3/98,33.16,54.32,-21.15,-2.85,1,
54392,87928,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1793,Lee Fisher,13085,DEM,39,Bob Taft,13086,REP,50,,-11,11/3/98,44.69,50.05,-5.36,-5.64,1,
54406,87942,1459,1998,1998_Gov-G_PA,PA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1611,Ivan Itkin,13100,DEM,16,Thomas Ridge,13098,REP,64,12,-48,11/3/98,31.03,57.42,-26.38,-21.62,1,
54424,87960,1464,1998,1998_Gov-G_TX,TX,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,3248,Garry Mauro,13118,DEM,22,George W. Bush,13119,REP,73,,-51,11/3/98,31.18,68.24,-37.06,-13.94,1,
54203,117111,1719,1998,1998_Sen-G_AZ,AZ,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,732,Edward Ranger,13708,DEM,18,John McCain,13709,REP,66,,-48,11/3/98,27.16,68.74,-41.58,-6.42,1,
54215,117114,1721,1998,1998_Sen-G_CA,CA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,4531,Barbara Boxer,3926,DEM,46,Matt Fong,3927,REP,45,,1,11/3/98,53.06,43.01,10.05,-9.05,1,
54225,117116,1722,1998,1998_Sen-G_CO,CO,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,614,Dottie Lamm,3929,DEM,37,Ben Nighthorse Campbell,3928,REP,55,,-18,11/3/98,35.02,62.49,-27.47,9.47,1,
54247,117118,1724,1998,1998_Sen-G_FL,FL,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,2295,Bob Graham,3932,DEM,60,Charlie Crist,3933,REP,31,,29,11/3/98,62.47,37.53,24.94,4.06,1,
54259,117121,1725,1998,1998_Sen-G_GA,GA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1174,Michael J. Coles,3935,DEM,37,Paul Coverdell,3934,REP,53,,-16,11/3/98,45.15,52.37,-7.22,-8.78,1,
54293,117123,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1209,Carol Moseley-Braun,3943,DEM,38,Peter G. Fitzgerald,3944,REP,52,,-14,11/3/98,47.44,50.35,-2.9,-11.1,1,
26063,31303,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Illinois Wesleyan University,147,Live Phone,,10/20/98,423,Carol Moseley-Braun,3943,DEM,31,Peter G. Fitzgerald,3944,REP,53,,-22,11/3/98,47.44,50.35,-2.9,-19.1,1,
54294,117199,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,KRC Research,160,Live Phone,,10/20/98,400,Carol Moseley-Braun,3943,DEM,40,Peter G. Fitzgerald,3944,REP,50,,-10,11/3/98,47.44,50.35,-2.9,-7.1,1,for Chicago Sun-Times
63646,117141,1729,1998,1998_Sen-G_IN,IN,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,831,Evan Bayh,3945,DEM,63,Paul Helmke,3946,REP,27,,36,11/3/98,63.72,34.79,28.93,7.07,1,
54324,117125,1734,1998,1998_Sen-G_MD,MD,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,911,Barbara A. Mikulski,3954,DEM,67,Ross Z. Pierpont,3955,REP,27,,40,11/3/98,70.5,29.5,41.01,-1.01,1,
54375,117127,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1792,Charles E. Schumer,3966,DEM,44,Alfonse M. D'Amato,3967,REP,46,,-2,11/3/98,54.62,44.08,10.54,-12.54,0,
63648,117143,1739,1998,1998_Sen-G_NC,NC,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1163,John Edwards,3958,DEM,47,Lauch Faircloth,3959,REP,38,,9,11/3/98,51.15,47.01,4.14,4.86,1,
54392,117130,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1793,Mary Boyle,3969,DEM,37,George V. Voinovich,3968,REP,55,,-18,11/3/98,43.53,56.46,-12.93,-5.07,1,
54406,117132,1744,1998,1998_Sen-G_PA,PA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,1611,Bill Lloyd,3975,DEM,25,Arlen Specter,3974,REP,57,,-32,11/3/98,34.79,61.34,-26.55,-5.45,1,
26199,31439,1746,1998,1998_Sen-G_SD,SD,Sen-G,Sen-G,NRECA Market Research,223,Live Phone,,10/20/98,500,Tom Daschle,3978,DEM,58,Ron Schmidt,3979,REP,26,,32,11/3/98,62.14,36.41,25.73,6.27,1,among registered voters
63650,117145,1749,1998,1998_Sen-G_WA,WA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/98,831,Patty Murray,3984,DEM,54,Linda Smith,3985,REP,41,,13,11/3/98,58.41,41.59,16.83,-3.83,1,
64121,117966,2078,1998,1998_House-G_MT-1,MT-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/20/98,819,Dusty Deschamps,14012,DEM,37,Richard A. Hill,14013,REP,52,,-15,11/3/98,44.36,53.01,-8.65,-6.35,1,
64387,118453,2246,1998,1998_House-G_UT-2,UT-2,House-G,House-G,Valley Research,368,Live Phone,,10/20/98,452,Lily Eskelsen,14441,DEM,42,Merrill Cook,14442,REP,41,,1,11/3/98,43.46,52.76,-9.3,10.3,0,for The Salt Lake Tribune
54186,87721,1433,1998,1998_Gov-G_AL,AL,Gov-G,Gov-G,University of South Alabama,361,Live Phone,,10/21/98,820,Don Siegelman,13005,DEM,46,"Forrest H. 'Fob' James, Jr.",13004,REP,32,,14,11/3/98,57.81,42.19,15.62,-1.62,1,
54335,87871,1449,1998,1998_Gov-G_MI,MI,Gov-G,Gov-G,Mitchell Research & Communications,213,Live Phone,,10/21/98,600,Geoffrey Fieger,13061,DEM,30,John Engler,13060,REP,62,,-32,11/3/98,37.78,62.2,-24.43,-7.57,1,
54413,87949,1460,1998,1998_Gov-G_RI,RI,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/21/98,400,Myrth York,13104,DEM,45,Lincoln Almond,13105,REP,40,7,5,11/3/98,42.13,50.97,-8.84,13.84,0,
26017,31257,1722,1998,1998_Sen-G_CO,CO,Sen-G,Sen-G,Ciruli Associates,51,Live Phone,,10/21/98,400,Dottie Lamm,3929,DEM,30,Ben Nighthorse Campbell,3928,REP,61,,-31,11/3/98,35.02,62.49,-27.47,-3.53,1,
63761,117404,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,SurveyUSA,325,IVR,,10/21/98,500,Charles E. Schumer,3966,DEM,48,Alfonse M. D'Amato,3967,REP,43,,5,11/3/98,54.62,44.08,10.54,-5.54,1,
